SegmenID,Sentimen,Label_Teks,Label_Multimodal,nota serena on neutral label,
hvm6MHF8A_o - 2,"tapi yang lawak nye sebab macam, rumah hang sendiri hang takdak la clean tara tu",-1,-1,,
hvm6MHF8A_o - 3,dapat bayaran untuk benda tu..hang memang clean kaw-kaw,1,0,,
hvm6MHF8A_o - 4,"so i macam....okey, ape aktiviti perempuan ni sebenarnya?...",-1,-1,,
hvm6MHF8A_o - 5,i selalu tertanya,0,0,,
hvm6MHF8A_o - 6,dia ni kerja bende pelik-pelik ni i rasa,-1,-1,,
hvm6MHF8A_o - 7,oh my god sorry sebab i terpikiak dia benda pelik-pelik,-1,-1,,
hvm6MHF8A_o - 8,"so guys, jangan laa disebabkan benda-benda you nampak macam tu teruih you buat impression",-1,1,,
hvm6MHF8A_o - 9,sangat struggle untuk depa paham ape yang depa belajaq,-1,-1,,
hvm6MHF8A_o - 10,okey definitely...geng-geng ni kena [short laugh] cakap betui-betui,0,-1,,
hvm6MHF8A_o - 11,different pronounciation..bagi..different meaning,0,0,,
hvm6MHF8A_o - 12,bende tu..sangat-sangat bahaya,-1,-1,,
hvm6MHF8A_o - 13,"tolong dia buat assignment, so i macam, what?..",-1,-1,,
hvm6MHF8A_o - 14,baik dia bagi sijil master tu dekat i sebab i yang buat semua assignment tu,-1,-1,,
hvm6MHF8A_o - 15,"tolong buatkan assignment untuk dia...thch, itu kiraa menipu la kan",-1,-1,,
hvm6MHF8A_o - 16,taktahu pulak ade orang sanggup nak offer keje-keje macam tu kan,-1,-1,,
hvm6MHF8A_o - 17,not bad ea depa bayaq,1,-1,,
hvm6MHF8A_o - 18,kerja dekat luaq negara part time semua tu memang hangpa masyuk,1,1,,
hvm6MHF8A_o - 19,seriusly hangpa kena berhati-hati,-1,-1,,
hvm6MHF8A_o - 20,jangan simply percaya dekat orang,-1,-1,,
hvm6MHF8A_o - 21,"ee, dia ni macam penipu",-1,-1,,
hvm6MHF8A_o - 22,hangpa jangan amik kerja tu,-1,-1,,
pVVZI2nP_Kg - 1,saya sebenarnya macam tak berapa nak percaya,-1,-1,,
pVVZI2nP_Kg - 2,benda tu dia tak bagi hasil yang saya nak lah,-1,-1,,
pVVZI2nP_Kg - 3,"bila saya study dan tengok kaedah yang orang buat untuk dapatkan unlimited internet tu, rupanya benda tu menjadi",1,1,,
pVVZI2nP_Kg - 4,ramai oghang yang mintak saya buangkan video tu,-1,-1,,
pVVZI2nP_Kg - 5,"takut bila video tu jadi viral nanti, [inhale] maka pihak telco akan tahu",-1,-1,,
pVVZI2nP_Kg - 6,anda tak payah nak risau,1,1,,
pVVZI2nP_Kg - 7, jadi kita boleh lah nak tengok cerita-cerita yang dia tak tunjuk dekat Malaysia,1,0,,
pVVZI2nP_Kg - 8,encrption VPN ni dia macam orang yang tak puasa,-1,-1,,
pVVZI2nP_Kg - 9,jadi ada oghang yang mengambil kesempatan untuk menggunakan apa yang tak di block tu,-1,-1,,
pVVZI2nP_Kg - 10,"tapi saya kena cakap di sini, menggunakan VPN dan trick-trick untuk bypass restriction bagi mendapatkan unimited high-speed internet ni, adalah salah",-1,-1,,
pVVZI2nP_Kg - 11,kita buat benda tanpa meminta kebenaran,-1,-1,,
pVVZI2nP_Kg - 12,"saya tak boleh nak nafikan jugak bahawa ramai oghang terpaksa gunakan kaedah ni, sebab kos sambungan internet kita ni dia bukan murah",-1,-1,,
pVVZI2nP_Kg - 13,"saya bersetuju apabila orang cakap dekat saya, bukan semua oghang ada sambungan internet laju macam saya",1,1,,
pVVZI2nP_Kg - 14,dan bukan semua oghang tau nak tune network macam saya,-1,0,mix of answers,
pVVZI2nP_Kg - 15,"perkara ni buat saya fikir..semua orang kene bayar harga yang sama bila nak dapatkan unlimited high-speed internet, tapi kelajuan yang setiap oghang dapat tak sama ",-1,-1,,
pVVZI2nP_Kg - 16,"lepas tu, jumlah kuota yang dibeghi tu pada saya terlalu terhad lah",-1,-1,,
pVVZI2nP_Kg - 17,pihak telco kena tengok balik lah jumah kuota yang mereka bagi sekarang ni,-1,1,,
pVVZI2nP_Kg - 18,"kalau zaman sekaghang, lima gigabyte data tu adalah terlalu sedikit",-1,-1,,
pVVZI2nP_Kg - 19,jadi kita tak boleh gunakan polisi data macam lima tahun dahulu,-1,-1,,
pVVZI2nP_Kg - 20,had kuota dan harga ni pihak telco kena kaji balik,1,1,,
pVVZI2nP_Kg - 21,"k, lagi pon sekaghang ni kita selalu sangat dok kena PKP",-1,-1,,
pVVZI2nP_Kg - 22,internet laju ni dia dah jadi satu keperluan,0,1,,
pVVZI2nP_Kg - 23,bukan lagi satu kemewahan,0,0,,
UKZ83YJehWc - 1,"mereke mengatekan, berlaku dekat Palestin sekarang adelah mainan politik semate-mate",-1,-1,,
UKZ83YJehWc - 2,habis perjanjian yang telah mereka ingkar,-1,-1,,
UKZ83YJehWc - 3,"ape sahaje perjanjian yang mereke buat, kesemuanye mereke ingkar",-1,-1,,
UKZ83YJehWc - 4,mereke mungkir janji,-1,-1,,
UKZ83YJehWc - 5,buat ikut kepale mereke sendiri,-1,-1,,
UKZ83YJehWc - 6,dalam mase same die tahu yang nabi bawak bende yang betul,1,0,,
UKZ83YJehWc - 7,"kate Imam Jalaluddin, [inhale] seramai 43 orang, nabi yang telah dibunuh oleh Yahudi",-1,0,all MM shows 0,
UKZ83YJehWc - 8,boleh jadik bende tu bende yang simple bagi mereke,1,-1,,
UKZ83YJehWc - 9,bende yang small matter bagi mereke,1,-1,,
UKZ83YJehWc - 10,penyelamat yang mereke maksudkan tu boleh muncul,1,0,,
UKZ83YJehWc - 11,bile orang tengok orang dapat something,1,1,,
VQ7YfYIoYgQ - 1,"perempuan tu agak, agak aggresif",-1,-1,,
VQ7YfYIoYgQ - 2,"dia marah tu bersebab, dia kate polis tu tahan dia mungkin lame sangat",-1,-1,,
VQ7YfYIoYgQ - 3,"die tak kesah lame ke sekejap ke ape ke, kalau polis.. nak tahan kite dia boleh tahan",-1,0,all MM shows 0,
VQ7YfYIoYgQ - 4,ape salah bagi kerjesame,-1,1,,
VQ7YfYIoYgQ - 5,"kan, orang lain pon kene saman jugak",-1,-1,,
VQ7YfYIoYgQ - 6,ini bende tak bagosss,-1,-1,,
VQ7YfYIoYgQ - 7,haa sekarang dah tular dekat sosial media...sendiri dapat dapat malu,-1,-1,,
VQ7YfYIoYgQ - 8,"pade saye, itu tidak, tidak, orang kate ape, tidak menjadikan.....satu alasan",1,-1,,
VQ7YfYIoYgQ - 9,lain kali jangan kuang hajarrr,-1,-1,,
VQ7YfYIoYgQ - 10,lalu roadblock jangan kuang hajar,-1,-1,,
VQ7YfYIoYgQ - 11,"ni saye nak bagitahu lah, kepade semua rakyat Malaysia ni yang..nak lalu SJR ape sume biarlah beradab sikit",-1,1,,
VQ7YfYIoYgQ - 12,"bukak lampu, bagi salam, cakap elok-elok",1,1,,
VQ7YfYIoYgQ - 13,kalau aku kat tempat pegawai tu pon memang aku tampar dah muke die tu kan,-1,-1,,
VQ7YfYIoYgQ - 14,memang kuang hajar!,-1,-1,,
VQ7YfYIoYgQ - 15,"terjerit-jerit, terjerit-jerit macam bodoh, macam takde respect kat orang",-1,-1,,
VQ7YfYIoYgQ - 16,mereke ni semue ade budi bicare dan ade budi bahase tau,-1,1,,
VQ7YfYIoYgQ - 17,"diorang tu manusie, same macam kite",0,0,,
VQ7YfYIoYgQ - 18,"tak kesahla ko kaye ke, ko pakai Harrier ke",-1,-1,,
VQ7YfYIoYgQ - 19,"yang penting, hormat",1,1,,
VQ7YfYIoYgQ - 20,"diorang ni pon ade..ade family, ade maruah",-1,0,all MM shows 0,
VQ7YfYIoYgQ - 21,kite dekat dunie ni takde yang hebat tau,-1,-1,,
VQ7YfYIoYgQ - 22,"patutnye da pegi umrah, dah balik umrah, perangai tu elok",-1,-1,,
VQ7YfYIoYgQ - 23,tak pernah pon kuang hajar macam ni dengan SJR,-1,-1,,
VQ7YfYIoYgQ - 24,"roadtax kete mati kene saman, ko maki-maki polis buat ape!",-1,-1,,
VQ7YfYIoYgQ - 25,tu salah pade engko sendiri,-1,-1,,
VQ7YfYIoYgQ - 26,kalau cakap elok-elok dengan diorang mungkin diorang boleh ade budi bahase lagi,1,1,,
VQ7YfYIoYgQ - 27,boleh ade pertimbangan lagi,1,1,,
VQ7YfYIoYgQ - 28,boleh bagi muke lagi,1,1,,
VQ7YfYIoYgQ - 29,tapi ini bende yang bukan-bukan,-1,-1,,
VQ7YfYIoYgQ - 30,pi maki polis ape sume,-1,-1,,
VQ7YfYIoYgQ - 31,"elok pon..elok pon polis buat macam ni, elok",1,1,,
VQ7YfYIoYgQ - 32,die memberi pengajaran kepade kite semue,1,1,,
VQ7YfYIoYgQ - 33,"lepas ni nak lalu SJR ke, nak ape ke, hormati, hormati frontliners kite ni",1,1,,
VQ7YfYIoYgQ - 34,diorang bekerje siang malam...kesian lah,-1,1,,
VQ7YfYIoYgQ - 35,"jangan ingat kau ade duit, kau boleh buat suke-suke hati",-1,-1,,
VQ7YfYIoYgQ - 36,"kalau tunjukkan perangai macam ni, tengok, warge-warge asing pon akan terikot",-1,-1,,
VQ7YfYIoYgQ - 37,warge-warge asing ponn akan hilang respect kepade kite punye pengutkuase,-1,-1,,
VQ7YfYIoYgQ - 38,cubela pakai otak siket,-1,-1,,
VQ7YfYIoYgQ - 39,tu pasal orang tue-tue kate....tak semestinye lawa tu adelah cerdik,-1,-1,,
VQ7YfYIoYgQ - 40,"masuk roadblock, masuk SJR, lambat sikit ko memekak-mekak",-1,-1,,
VQ7YfYIoYgQ - 41,saye nak ucap tahniah kepade aa polis Sabahlah kerane berjaya menahan die,1,1,,
VQ7YfYIoYgQ - 42,supaye bende ni menjadi tauladan kepade kite semue,1,1,,
VQ7YfYIoYgQ - 43,"supaye lepas ni nak lalu roadblock, mesti mau respect",1,1,,
VQ7YfYIoYgQ - 44,polis ni simple je,1,1,,
VQ7YfYIoYgQ - 45,bende tu kite dah bagitau lame,-1,0,all MM shows 0,
VQ7YfYIoYgQ - 46,mungkin akan menjadi tohmahan-tohmahan yang tidak elok,-1,-1,,
VQ7YfYIoYgQ - 47,"jadi, ketua Polis negara percepatkan lah penggunaan bodycam tu",1,1,,
VQ7YfYIoYgQ - 48,Selaku rakyat Malaysia kite harus bekerjesame,1,1,,
VQ7YfYIoYgQ - 49,memberi kerjesame yang elok kepade pihak berkuase,1,1,,
VQ7YfYIoYgQ - 50,"kalau tidak nanti...ha, tengok pendatang-pendatang pon berani melawan pihak berkuase",-1,-1,,
VQ7YfYIoYgQ - 51,berani nak bersuare,1,-1,,
VQ7YfYIoYgQ - 52,berani nak pegi buat kat live kat Facebook nak tiaw penguatkuase,-1,-1,,
VQ7YfYIoYgQ - 53,kite jadikan bende ni sebagai pengalaman dan pengajaran kepade kite,1,1,,
VQ7YfYIoYgQ - 54,"surat rentas negeri, surat MITI, surat mati ke ape ke, siapkan semua sekali",0,1,,
VQ7YfYIoYgQ - 55,senang buat satu fail,0,0,,
VQ7YfYIoYgQ - 56,"ye betul Mohammad Zulhilmi, ikut SOP",1,1,,
VQ7YfYIoYgQ - 57,dalam roadblock pon relek je,1,1,,
VQ7YfYIoYgQ - 58,bende kite boleh negotiate,1,1,,
VQ7YfYIoYgQ - 59,Ego..buang kan ego kite tu,1,-1,,
VQ7YfYIoYgQ - 60,harini Allah 'Taala bagi kite kaye,1,1,,
VQ7YfYIoYgQ - 61,aku memang geram betul dengan orang-orang yang..kuang hajar tu,-1,-1,,
VQ7YfYIoYgQ - 62,kite tak patut menjadi contoh yang tidak baik,1,-1,,
VQ7YfYIoYgQ - 63,sepatutnye kite ni tunjuk contoh yang baik,1,1,,
VQ7YfYIoYgQ - 64,bodycam ni patut di implement kan,1,0,,
VQ7YfYIoYgQ - 65,sepatutnye dipercepatkan,1,0,,
VQ7YfYIoYgQ - 66,"sib baiklah ade video cam, yang menampakkan diorang tak tendang",1,1,,
VQ7YfYIoYgQ - 67,"kesianla kat anggote-anggote, pegawai-pegawai dilapangan ni",-1,-1,,
VQ7YfYIoYgQ - 68,"seringkali di tohmah, seringkali di fitnah",-1,-1,,
VQ7YfYIoYgQ - 69,maruah polis tu harus di pertahankan,1,1,,
VQ7YfYIoYgQ - 70,supaya kite nampak ketelusan,1,1,,
VQ7YfYIoYgQ - 71,nanti kalau ape-ape hal senang nak jawap kat mahkamah,1,1,,
VQ7YfYIoYgQ - 72,jangan jadikan mereke ni mangse,1,1,,
XPfb-BuLj3s - 1,"tak silap aku, patung McD tu kene buang disebabkan ade kanak-kanak yang trauma bile tengok badut",-1,-1,,
XPfb-BuLj3s - 2,"badut tu bukan sesuatu lagi yang melucukan tetapi, menakutkan",-1,-1,,
XPfb-BuLj3s - 3,"siape sangke badut yang dianggap kelakar, rupe-rupenye ade kisah hitam dia yang tersendiri",-1,-1,,
XPfb-BuLj3s - 4,sepatutnye badut ni adelah seorang penghibur,0,0,,
XPfb-BuLj3s - 5,yang sangat-sangat disukai kanak-kanak,1,1,,
XPfb-BuLj3s - 6,"mereke ni, mostly diorang sangat-sangat takut dengan badut",-1,-1,,
XPfb-BuLj3s - 7,"memang sangat-sangat scary, right?",-1,-1,,
XPfb-BuLj3s - 8,alhamdulillah la dekat Malaysia ni so far badut-badut dekat sini..masih lagi menjadi penghibur kanak-kanak,1,1,,
LqNauCMrYVk - 1,kalau tak kenal sumpahan ni maknenye tu bukan fans MU aa tu,-1,-1,,
LqNauCMrYVk - 2,"semua player ni, elok-elok jadi harapan dekat MU terus bertukar jadi keladak kan lepas pakai nombor tujuh dekat MU",-1,-1,,
LqNauCMrYVk - 3,memang Owen ni dalam kategori pencen awal le sebenarnye,-1,-1,,
LqNauCMrYVk - 4,senang citer tak ego aa,1,1,,
LqNauCMrYVk - 5,"Valencia ni boleh dikatekan, level-level budak baik gak sebenarnye",1,1,,
LqNauCMrYVk - 6,tapi dia ni jenis lagi dengar cakap aa,1,1,,
LqNauCMrYVk - 7,nombor tujuh ni memang bahanol betul lah,-1,-1,,
LqNauCMrYVk - 8,situ je die lege sikit,1,1,,
LqNauCMrYVk - 9,bukan balik kampung tanam jagung,-1,-1,,
LqNauCMrYVk - 10,Di Maria ni salahkan van Gaal pulak,-1,-1,,
LqNauCMrYVk - 11,"ko kerah aku buat itu, buat ini",-1,-1,,
LqNauCMrYVk - 12,memang berbulu aa mamat tu,-1,-1,,
LqNauCMrYVk - 13,aa itu aku tak paham tu,-1,-1,,
LqNauCMrYVk - 14,tak macam Valencia dengan Owen yang budiman,1,1,,
LqNauCMrYVk - 15,boleh tahan jugak la demand mamat ni kan,-1,-1,,
LqNauCMrYVk - 16,"alasan dia kate nye game dekat England ni, banyak sangat",-1,-1,,
LqNauCMrYVk - 17,Depay ni dah power balik aa,1,1,,
LqNauCMrYVk - 18,"tapi bagi aku, aku rase tak payah beli balik kot",-1,-1,,
LqNauCMrYVk - 19,kang kalau pishang macam [pokba] kang sia-sia je kau,-1,-1,,
LqNauCMrYVk - 20,elok-elok nama ko top..terus jadik busuk oo,-1,-1,,
LqNauCMrYVk - 21,tu lagi haram oou,-1,0,2/3 neutral (with 1 inbetween),
o4RVxeYy_dw - 1,sekarang pun saye rase masih lagi releven sebab care tu sangat lah berkesan,1,1,,
o4RVxeYy_dw - 2,dunie perisikan ni kan...die jadi pelik kalau takde undercover,0,0,,
o4RVxeYy_dw - 3,saye sendiri pun saye..kene buat research jugak,0,0,,
o4RVxeYy_dw - 4,"pergi masuk dunie perisikan tu, eh susah weii!",-1,-1,,
o4RVxeYy_dw - 5,kentalkanlah hati korang sebab dunie perisikan ni bukan mudah,-1,0,mix of answers,
SpKUiKUefpU - 1,"Die kate, die gune tripsin hok..bukan babi tripsin hok sintetik, tapi sebenonye die gune tripsin babi",-1,-1,,
SpKUiKUefpU - 2,kalau kite fikir beghak..die akan jadik gitu ah,-1,-1,,
SpKUiKUefpU - 3,situ memang...dok nampok doh rase,0,-1,,
SpKUiKUefpU - 4,"menunjukkan bahawe, sebenonye majlis Ulama' Indonesia die menyokong",1,1,,
SpKUiKUefpU - 5,"tapi tu ah, oghang nok share, pasa babi tu je",-1,-1,,
SpKUiKUefpU - 6,"sebenonye takmboh ikot Ulama' pong, die nak ikut kepale otok sendiri je",-1,-1,,
SpKUiKUefpU - 7,"sebak tu ah orang kate, blajo sampai SPM ye, tapi ,gaye cakak..[laugh] bak alim mufti",-1,-1,,
0-gFuG1_ABI - 1,"aa, sebenarnye anda telah tertipu",-1,-1,,
0-gFuG1_ABI - 2,takde pun..die analyse satu-satu bende tu,-1,0,all MM shows 0,
0-gFuG1_ABI - 3,very impressive la kan,1,1,,
0-gFuG1_ABI - 4,"maksudnye student ni percayelah dengan, semua feedback yang diorang terime tu",-1,1,,
0-gFuG1_ABI - 5,Kite mesti akan jadi defensive,-1,-1,,
0-gFuG1_ABI - 6,"so bende ni macam...dia, feed kite punye ego lah",-1,-1,,
0-gFuG1_ABI - 7,lepas ni kalau boleh jangan cepat cepat percayeee semua personaliti test yang ade tu,1,1,,
0-gFuG1_ABI - 8,"nak jawap boleh, tapi jangan, percayee",-1,1,,
2WLomaZXolg - 1,aa diorang sangat betul-betul menjaga la,1,1,,
2WLomaZXolg - 2,"bile kite balik tu, takdak la orang tanya kan, kite dah abis ke belum, kuarantin ape semua",1,0,,
2WLomaZXolg - 3,Okey stay safe everyone,1,1,,
2WLomaZXolg - 4,terime kasih frontliner,1,1,,
7jpzFt6tTs0 - 1,"so macam nak taknak, ko kene go through jugak la takkan nak lari daripade roadblock kan",-1,-1,,
7jpzFt6tTs0 - 2,"so saye rase macam..aduii, iniii kalau aku bersalin selepas due-date aku ni memang sure sure aku kene ambik balik",-1,-1,,
7jpzFt6tTs0 - 3,alhamdulillah...beranak dalam orang kate tak payah nak re-test balik,1,1,,
GRWRNSkYOVg - 1,"Ko student kot, ko makan pon nak berkire ke?!",-1,-1,,
GRWRNSkYOVg - 2,"Nasib baik laa Universiti aku budak-budak dia bagus-bagus baik-baik,kan",1,1,,
GRWRNSkYOVg - 3,"satu masalah yang sangatt, orang kate cane...[inhale] masalah yang, sukarla",-1,-1,,
GRWRNSkYOVg - 4,"kene tunggulah, kalau hujan pun hujan lah, tunggu, redah je hujan",-1,0,all MM shows 0,
GRWRNSkYOVg - 5,"pelajar tu, kite terlepah pandang, depe tak boleh balik oo, kesiaannn",-1,-1,,
GRWRNSkYOVg - 6,kami yang biase sebagai majlis perwakilan ni pon oo dah pening betul macam mana,-1,-1,,
GRWRNSkYOVg - 7,"baru jage asrama, ni da jage Universiti pulak, nanti nak jage negare",1,-1,,
GRWRNSkYOVg - 8,terime kasihla pade frontliner,1,1,,
uwyR9c0Vwsk - 1,no no no..you jangan ingat you auto dapat aeh,-1,-1,,
uwyR9c0Vwsk - 2,"You jangan gune deposit ni untuk bende-bende personal pulak,kan",-1,1,,
9glaHGQJCDw - 1,"pada masa yang yang yang same, kite juge ade harapan yang tinggi",1,1,,
9glaHGQJCDw - 2,"tetapi kalau kite lihat dengan telitinye, adekah vaksin-vaksin yang mungkin aa berjaye itu adekah mereke berkesan 100% ataupun 80%",-1,-1,,
9glaHGQJCDw - 3,hargenye juge sangat mahal,-1,-1,,
9glaHGQJCDw - 4,Ini..bermakne kite mesti menyediekan budget untuk vaksin,0,0,,
9glaHGQJCDw - 5,"jadi, samaada semua rakyat semua negara boleh mendapat vaksin ni pun tak dipastikan kerana patent dan hak intelek",-1,-1,,
9glaHGQJCDw - 6,me- menyebabkan kite khuatir,-1,-1,,
9glaHGQJCDw - 7,"yang sangat penting masih adelah, langkah-langkah kesihatan awam, social distancing, mask",1,1,,
9glaHGQJCDw - 8,dan kite mesti berjage-jage,1,1,,
9glaHGQJCDw - 9,vaksin ini belum datang ke negara kite,-1,0,all MM shows 0,
9glaHGQJCDw - 10,kalau datang pun kite tidak pastikan keberkesanannye,-1,-1,,
ydVZLfUsTIE - 1,"diorang memang rapat, memang sangat-sangat bonding",1,1,,
ydVZLfUsTIE - 2,"bukan antare diorang je rapat, antara ibubape diorang pon rapat",1,1,,
ydVZLfUsTIE - 3,diorang memang banyak giler beli makanan stok-stok untuk buat party dalam tu la,1,1,,
ydVZLfUsTIE - 4,"diorang cube lari diorang tinggalkan makanan diorang sebab nak gerak laju, tapi malangnye diorang tak dapat keluar",-1,-1,,
ydVZLfUsTIE - 5,die ade lah antare orang yang paling penting dalam misi menyelamat ni,1,1,,
ydVZLfUsTIE - 6,dia tahu selok belok gue ni,1,1,,
ydVZLfUsTIE - 7,"diorang perlu, macam mane nak cakap, perjudikan nasib diorang",-1,-1,,
ydVZLfUsTIE - 8,"diorang memang kene laju la, diorang ke- diorang tahu diorang takde mase",-1,-1,,
ydVZLfUsTIE - 9,diorang macam tak give up,1,1,,
ydVZLfUsTIE - 10,"possible ke, ade ke orang yang tahu diorang pegi gue?",-1,-1,,
ydVZLfUsTIE - 11,"faham tak, tah-tah orang giveup mase awal-awal pintu cam tu",-1,-1,,
ydVZLfUsTIE - 12,satu dunie sangat-sangat bersyukur,1,1,,
ydVZLfUsTIE - 13,Tapi akhirnye penantian diorang tu tak sie-sie,1,1,,
ydVZLfUsTIE - 14,"kalau setakat berenang macam dekat kolam satu meter, macam tak boleh la, tak boleh",-1,-1,,
ydVZLfUsTIE - 15,"ade juge ibubape yang bagi surat kepade jurulatih ni, [inhale] diorang cakap yang diorang maafkan die",1,1,,
ydVZLfUsTIE - 16,ini Aisyah terharu do,1,1,,
ydVZLfUsTIE - 17,"mase Aisyah bacekan, Aisyah macam terharu gile",1,1,,
ydVZLfUsTIE - 18,"sebab mase Aisyah pegi Thailand pon, memang orang Thailand baik-baik",1,1,,
ydVZLfUsTIE - 19,senyuman tu tak pernah lekang daripade muke diorangg,1,1,,
ydVZLfUsTIE - 20,diorang friendly,1,1,,
ydVZLfUsTIE - 21,orang Thailand baik gile,1,1,,
ydVZLfUsTIE - 22,"Doktor cakap memang diorang tak takut langsung, diorang fearless",1,1,,
ydVZLfUsTIE - 23,itu macam satu pencapaian yang sangat besarlah,1,1,,
ydVZLfUsTIE - 24,diorang memang happy sa-sangat,1,1,,
s9GyeeRxbUw - 1,maafla saya ss ss saya tak leh nak express my feelings,-1,-1,,
s9GyeeRxbUw - 2,semua news dari sana.....sakit sakit,-1,-1,,
s9GyeeRxbUw - 3,orang semua sakit,-1,-1,,
s9GyeeRxbUw - 4,"macam mana nak joget dalam masjid, masjid ka, hormat hormat masjid kaeh?",-1,-1,,
s9GyeeRxbUw - 5,patu dia masih tidak dengar...dia tak kesoh...,-1,-1,,
s9GyeeRxbUw - 6,dia tak takut...sebab semua dunia tu support dio....,1,-1,,
s9GyeeRxbUw - 7,"patu dia ingak, macam biase...kite nak....anta rokek satu dua tiga mache everytime la",-1,-1,,
s9GyeeRxbUw - 8,"Israel lo ni become crazy...die jadi gile, gile",-1,-1,,
s9GyeeRxbUw - 9,"Seminik je...mut, boleh tubik koo tokleh tubik kok mu la..",-1,-1,,
s9GyeeRxbUw - 10,dale satu taman tu..mungkin ade sepuluh rumah kea?di kalau bagi so so so dale seminik macam mana,0,-1,,
s9GyeeRxbUw - 11,lagu mana dia nak tubik..cepak-cepak,-1,-1,,
s9GyeeRxbUw - 12,saya share..video-video tapi ada warning dari Facebook,-1,-1,,
s9GyeeRxbUw - 13,dia toksey orang pun tahu cite,-1,-1,,
s9GyeeRxbUw - 14,"kite boleh doa je, doa..",-1,-1,,
s9GyeeRxbUw - 15,kalau dekak mok sayo takpo,1,-1,,
s9GyeeRxbUw - 16,"kalau mati tangan mok, takpo",1,-1,,
s9GyeeRxbUw - 17,"habis, rumah orang habis",-1,-1,,
s9GyeeRxbUw - 18,rumah orang dah habis,-1,-1,,
s9GyeeRxbUw - 19,family habis...satu family dah habis,-1,-1,,
s9GyeeRxbUw - 20,takut spoil...mood raya kat awok......maaf deh,-1,-1,,
s9GyeeRxbUw - 21,"yang pat tahun, lima tahun tu...bom bom bom bom, macam mana?",-1,-1,,
s9GyeeRxbUw - 22,syahid dengan baju raya,-1,-1,,
0uP_rXhDIS4 - 1,"Malaysia takde kekuatan ATM, kenape nak berperang dengan Israel",-1,-1,,
0uP_rXhDIS4 - 2,Di sini bukannye masalah berperang dengan Israel,-1,0,all MM shows 0,
0uP_rXhDIS4 - 3,"Disini, Malaysia menunjukkan, sikap kemanusiaan terhadap Israel",1,1,,
0uP_rXhDIS4 - 4,"mereke lebih pandang kepade ke arah agama, sedangkan ini adelah ke arah kemanusiaan",-1,-1,,
0uP_rXhDIS4 - 5,"mungkin mereke cacat kekal, ataupun mereke buta, ataupun mereke pekak, mereke bisu, macam-macam boleh jadi",-1,-1,,
0uP_rXhDIS4 - 6,ini berkaitan dengan humanity,0,0,,
0uP_rXhDIS4 - 7,bile peperangan mesti akan terkorban,-1,-1,,
0uP_rXhDIS4 - 8,terkorban nyawe-nyawe yang tidak berdose,-1,-1,,
